"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lowend","num_noncollege","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"46","Computers & Mathematics","Mathematics",1170,127157,18676,24116,80770,0.0103711881660614,0.14687355002084,0.189655308005065,0.63519900595327,2719,36144,0.021383014698365,0.284247033195184,35000,47525.883,65727.285,28022,70585,56572,99632,7401,129,14538,12193,0.220373239381237,0.555101174139056,0.444898825860944,0.783535314611071,0.0582036380222874,0.00101449389337591,0.11433110249534,0.0958893336583908
"47","Computers & Mathematics","Statistics And Decision Science",115,13554,1951,2527,9076,0.00110549230009198,0.143942747528405,0.186439427475284,0.669617824996311,203,2991,0.0149771285229453,0.220672864099159,44492.316,60671.34,76850.364,2059,7470,6084,8264,166,67,4581,946,0.151910875018445,0.551128818061089,0.448871181938911,0.60970931090453,0.0122473070680242,0.00494319020215435,0.337981407702523,0.0697948944960897
"48","Education","Art And Music Education",519,52616,6025,6745,38514,0.00429146988797694,0.114508894632811,0.128192945111753,0.731982666869393,775,10158,0.0147293598905276,0.19305914550707,31346.859,38627.4198,45503.505,18336,19118,33498,48139,2225,0,885,2650,0.34848715219705,0.363349551467234,0.636650448532766,0.914911813896913,0.0422875171050631,0,0.0168199787136993,0.0503649080127718
"49","Education","Early Childhood Education",611,62975,10123,9280,41981,0.00513637137363821,0.1607463279079,0.147360063517269,0.666629614926558,1090,8842,0.0173084557364033,0.140404922588329,25279.725,35000,41458.749,22432,2076,60899,52800,5314,101,2377,4506,0.356204843191743,0.0329654624851131,0.967034537514887,0.838427947598253,0.0843826915442636,0.00160381103612545,0.0377451369591108,0.07155220325526
"50","Education","Elementary Education",2282,223728,38121,28025,152715,0.0182477188516289,0.170389937781592,0.125263713080169,0.682592254880927,3518,28651,0.0157244511192162,0.128061753557892,30335.67,36402.804,42469.938,80925,16614,207114,206196,7326,632,4566,13070,0.361711542587428,0.0742598154902381,0.925740184509762,0.921636987770865,0.0327451190731603,0.00282485875706215,0.0204087105771294,0.0584191518272188
"51","Education","General Education",1763,256295,39251,42397,168545,0.0209039507932768,0.153147739909089,0.165422657484539,0.657621100684758,6836,45235,0.0266723892389629,0.176495834877778,30335.67,38829.6576,46514.694,75141,51470,204825,209675,24554,880,9992,34545,0.293181685167483,0.200823270059892,0.799176729940108,0.818100236056107,0.0958036637468542,0.0034335433777483,0.0389863243527966,0.134786086345812
"52","Education","Language And Drama Education",369,38058,5926,5382,25215,0.00310408926935963,0.155709706237847,0.141415733879868,0.662541384203059,548,7841,0.0143990750959062,0.206027642020075,31000,37312.8741,45000,12585,7582,30476,33355,1365,492,1007,3659,0.330679489200694,0.199222239739345,0.800777760260655,0.876425455883126,0.0358663093173577,0.0129276367649377,0.0264596142729518,0.0961427295181039
"53","Education","Mathematics Teacher Education",247,25569,5352,4990,14774,0.00208546057407789,0.209315968555673,0.195158199382064,0.577809065665454,109,3281,0.00426297469592084,0.128319449333177,34077.0693,40447.56,47900,8936,8596,16973,23169,1019,0,990,1501,0.349485705346318,0.336188353083812,0.663811646916188,0.90613633697055,0.0398529469279205,0,0.038718760999648,0.0587038992530017
"54","Education","Miscellaneous Education",177,17585,1977,2463,12635,0.00143426900524697,0.112425362524879,0.140062553312482,0.718510093829969,184,4267,0.0104634631788456,0.242649985783338,33369.237,40447.56,48537.072,6521,6765,10820,15302,440,203,288,1672,0.370827409724197,0.384702871765709,0.615297128234291,0.870173443275519,0.0250213249928917,0.0115439294853568,0.0163775945408018,0.0950810349729883
"55","Education","Physical And Health Education Teaching",330,36388,3257,5486,26164,0.00296788061205156,0.0895075299549302,0.150763988127954,0.719028251071782,999,14261,0.0274541057491481,0.391914917005606,30335.67,38425.182,49548.261,9928,21887,14501,29965,3628,15,1360,1431,0.272837199076619,0.601489502033637,0.398510497966363,0.82348576453776,0.099703198856766,0.000412223810047268,0.037374958777619,0.0393261514785094
"56","Education","Science And Computer Teacher Education",113,11731,2603,2189,6535,0.00095680464603652,0.22189071690393,0.186599607876566,0.557071008439178,48,1539,0.00409172278578126,0.131190861819112,32358.048,37980,42469.938,4436,4102,7629,10201,489,116,625,353,0.378143380785952,0.34967180973489,0.65032819026511,0.869576336203222,0.0416844258801466,0.00988833006563805,0.0532776404398602,0.030091211320433
"57","Education","Secondary Teacher Education",270,26978,4830,3084,18687,0.00220038153105219,0.179034769071095,0.114315368077693,0.692675513381274,319,4020,0.0118244495514864,0.149010304692713,31346.859,37500,43481.127,7931,12793,14185,23600,1538,49,978,1807,0.293980280228334,0.474201200978575,0.525798799021425,0.874786863370153,0.0570094150789532,0.00181629475869227,0.0362517606938987,0.066980502631774
